topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
 ,0.075,0.045,0.044,0.033,0.03,0.027,0.019,0.017,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002
topic1,wahl,partei,stimm,kandidat,sieg,ergebnis,wahlkampf,sitz,gewahlt,parlamentswahl,prozent_der_stimmen,mehrheit,kommunalwahl,knapp,umfrag,demokrat,mandat,prasidentenwahl,konservativ,wahlsieg,kam,burg,wahlbeteil,parlament,niederlag,stichwahl,opposition,wahlergebnis,liberal,gewonn,absolute_mehrheit,klar,wahlkreis,sozialdemokrat,abstimm,million,renn,burgermeist,erhielt,wahllokal,verlor,anhang,aufgeruf,gewinn,letzt,wahlkommission,bewerb,link,auszahl,wahlberechtigt,kopf,erreicht,vorsprung,unabhang,beobacht,hochrechn,prasidentschaftswahl,gewann,spitzenkandidat,erstmal,wahlt,ersten_wahlgang,herausford,hurd,sozialist,recht,beteil,regierungspartei,wahlgang,erzielt,urnengang,amtsinhab,landesweit,prozentpunkt,chanc,vorn,abschneid,europawahl,republikan,demokrati,vorlauf,erfolg,wahlrecht,endergebnis,stimmabgab,dritt,regiert,volkspartei,vertret,ausgang,wahlausgang,verlust,landtagswahl,oppositionell,meinungsumfrag,wahltag,bundnis,antret,abgeordnet,gewinnt
 ,0.084,0.039,0.023,0.02,0.018,0.016,0.012,0.012,0.011,0.011,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic2,punkt,index,dax,akti,handl,bors,stieg,verlor,fiel,legt,schwach,plus,minus,schloss,gewinn,titel,leicht,fest,aktienmarkt,papi,stand,wall_street,gewann,verlust,dow,wert,nasdaq,mdax,anleg,kursgewinn,notiert,handel,kurs,rentenmarkt,jon,positiv,vortag,tendiert,nachd,freundlich,klettert,standardwert,ging,sank,kraftig,dow_jones,verli,zog,busst,profitiert,kursverlust,gewinnmitnahm,geschloss,ebenfall,umlaufrendit,tecdax,frankfurt,vorgab,mark,main,unverandert,uneinheit,belastet,setzt,behauptet,stimmung,aktienbors,druck,zeigt,verzeichnet,umsatz,sap,uhr,nemax,nikkei,verbessert,technologiewert,borsian,borsenbaromet,verbucht,zahlt,nachmittag,aktienkurs,futur,erhol,gefragt,erneut,erholt,marktteilnehm,tendenz,verlauf,london,oben,breit,verteuert,york,prasentiert,zeitweis,infineon,staatsanleih
 ,0.055,0.031,0.024,0.023,0.015,0.014,0.013,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic3,kanzl,wahlkampf,red,bundeskanzl,union,wahl,gerhard_schröder,bundesprasident,helmut_kohl,bundeskanzler_gerhard_schröder,wort,sozialdemokrat,bundestagswahl,angela_merkel,thema,kanzlerin,person,kanzleramt,kohl,klar,opposition,kanzlerkandidat,debatt,burg,wer,richtig,aussenpolit,auftritt,them,große_koalition,blick,septemb,eindruck,sag,regierungserklar,adenau,uberzeug,inhalt,gemacht,wahlsieg,großen_koalition,heitmann,bild,merkel,duell,innenpolit,sach,versprech,offent,bundeskanzler_helmut_kohl,vorgang,johannes_rau,verhaltnis,daran,gesagt,vertrau,auss,bess,inn,wiss,wunsch,regierungschef,mitt,herausford,chanc,heiss,weizsack,letzt,helmut_schmidt,tun,bundesversamml,regi,niemand,roman_herzog,kanzler_schröder,edmund_stoiber,wirklich,respekt,beifall,deshalb,raus,off,bundestag,stollmann,genoss,nie,mut,verstand,auseinandersetz,parteipolit,eher,kommt,nehm,bundeskanzlerin,erinnert,darf,antwort,willy_brandt,mal,steht
 ,0.063,0.02,0.019,0.017,0.017,0.015,0.015,0.013,0.012,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic4,niederland,amsterdam,den_haag,grossbritanni,holland,frankreich,belgi,de,ing,itali,hfl,sech,ausserd,meint,gemacht,unilev,bekannt,abn_amro,gehor,zusamm,ebenfall,acht,bleib,folg,guld,neb,zud,inzwisch,gehort,kam,rotterdam,laut,erhalt,innerhalb,ahold,stell,kok,fest,fuhrt,zweit,hoch,nachd,trotz,volkskrant,gegenub,spani,zunach,stellt,fokk,mai,sieb,lubb,abn,steht,zwolf,genannt,teilt,nv,fortis,gesamt,erwart,anfang,orientiert,dadurch,aktiv,ging,zuvor,setzt,neun,gegeb,gefuhrt,geword,ubrig,vergang,ansicht,gilt,bess,mindest,heisst,angekundigt,gemeinsam,darunt,position,fuhrend,erfolg,klein,dah,schnell,wim,gewinn,lang,dritt,meist,bleibt,balken,letzt,besteh,zeigt,kundigt,stand
 ,0.106,0.02,0.018,0.016,0.014,0.013,0.01,0.01,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic5,preis,kost,pro,teur,billig,erhoh,niedrig,je,gebuhr,gunstig,cent,verbrauch,durchschnitt,jahrlich,steig,zusatz,kostet,senk,pfennig,erhoht,preiserhoh,bezahl,lieg,teu,gering,erheb,hoch,betrag,rechn,gesenkt,rechnung,belast,sink,statt,drastisch,berechn,steigend,sech,dadurch,vergleich,sogar,anheb,mindest,rechnet,schnitt,tarif,preissenk,bezahlt,spar,januar,okosteu,rabatt,gleich,allein,doppelt,wettbewerb,laut,acht,senkung,druck,abgab,sieb,verlang,sinkend,verlangt,trag,preissteiger,angehob,teilweis,halft,reduziert,zahlt,verteuer,einfuhr,verband,schatzung,deshalb,greif,umstell,entsprech,zud,senkt,preiswert,beispielsweis,zwolf,aufschlag,unterschied,jeweil,folg,berechnet,profiti,reduzi,steigt,einspar,kostenlos,eingefuhrt,drittel,belastet,ausgleich,gleichzeit
